current_tag,canonical_tag,action,product_availability,npc_count,article_count
alchemist,alchemist,keep,both,20,258
altmer,altmer,keep,both,0,15
animal,,move,none,36,0
archer,warrior,translate,both,24,0
argonian,argonian,keep,both,24,6
bard,bard,keep,chim,28,7
blacksmith,blacksmith,keep,both,37,37
blades,blades,keep,both,0,13
blocked,blocked,keep,chim,0,2
bosmer,bosmer,keep,both,0,8
bothela,bothela,keep,chim,0,1
brenuin,brenuin,keep,chim,0,1
breton,breton,keep,both,117,12
brynjolf,brynjolf,keep,chim,0,1
college_of_winterhold,college_of_winterhold,keep,chim,0,19
collegeofwinterhold,college_of_winterhold,translate,chim,30,0
common,common,keep,both,0,1476
companions,companions,keep,chim,15,17
daedra,daedra,keep,both,6,88
daedric,daedra,translate,both,21,0
dark_brotherhood,dark_brotherhood,keep,both,0,25
darkbrotherhood,dark_brotherhood,translate,both,15,0
darkelf,dunmer,translate,both,104,0
dawnguard,dawnguard,keep,chim,27,12
dealer,dealer,keep,chim,0,1
delphine,delphine,keep,chim,0,1
dragon,dragon,keep,chim,23,64
dunmer,dunmer,keep,both,0,29
dwemer,dwemer,keep,both,19,26
east_empire_company,east_empire_company,keep,both,0,10
eastmarch,eastmarch,keep,chim,120,272
elynea_mothren,elynea_mothren,keep,chim,0,1
erandur,erandur,keep,chim,0,1
erikur,erikur,keep,chim,0,1
esbern,esbern,keep,chim,0,2
esoteric,esoteric,keep,both,0,86
falk_firebeard,falk_firebeard,keep,chim,0,1
falkreath,falkreath,keep,chim,70,249
fisher,fisher,keep,chim,6,29
forsworn,forsworn,keep,chim,17,37
guard,guard,keep,both,30,9
haafingar,haafingar,keep,chim,148,147
healer,healer,keep,both,0,146
highelf,altmer,translate,both,44,0
hjaalmarch,hjaalmarch,keep,chim,38,256
house_hlaalu,house_hlaalu,keep,both,0,7
house_redoran,house_redoran,keep,both,0,12
house_telvanni,house_telvanni,keep,both,0,3
hunter,hunter,keep,both,19,25
imperial,imperial,keep,both,132,43
imperial_legion,imperial_legion,keep,both,0,60
innkeeper,innkeeper,keep,chim,35,13
karliah,karliah,keep,chim,0,1
katriah,katriah,keep,chim,0,2
khajiit,khajiit,keep,both,27,12
legion,imperial_legion,translate,both,65,0
legion. skyrimall,,remove,none,1,0
mage,mage,keep,both,185,227
merchant,merchant,keep,both,55,32
milore_ienth,milore_ienth,keep,chim,0,1
miraak_cult,miraak_cult,keep,chim,0,10
miraakcult,miraak_cult,translate,chim,6,0
morag_tong,morag_tong,keep,both,0,9
noble,noble,keep,chim,86,62
nord,nord,keep,both,561,16
onmund,,remove,none,1,0
orc,orc,keep,both,61,9
pale,pale,keep,chim,64,231
peasant,,move,none,292,0
plautis_carvain,plautis_carvain,keep,chim,0,1
priest,priest,keep,both,36,48
psijic,psijic_order,translate,chim,4,0
psijic_order,psijic_order,keep,chim,0,6
puzzle,puzzle,keep,chim,55,1
reach,reach,keep,chim,145,223
redguard,redguard,keep,both,57,11
rift,rift,keep,chim,167,183
sailor,sailor,keep,both,18,15
sanguine,sanguine,keep,chim,0,1
scholar,scholar,keep,both,23,471
skaal,skaal,keep,both,0,10
skall,skaal,translate,both,11,0
skyrimall,common,translate,both,144,0
snow_elf,snow_elf,keep,chim,0,11
snowelf,snow_elf,translate,chim,7,0
solstheim,solstheim,keep,both,97,64
sorex_vinius,sorex_vinius,keep,chim,0,1
soulcairn,,remove,none,3,0
sovngarde,,remove,none,4,0
stands_in_shallows,stands_in_shallows,keep,chim,0,1
stormcloak,stormcloaks,translate,chim,36,0
stormcloaks,stormcloaks,keep,chim,0,44
talen_jei,talen_jei,keep,chim,0,3
thalmor,thalmor,keep,chim,15,24
thief,thief,keep,both,120,3
thieves_guild,thieves_guild,keep,both,0,28
thievesguild,thieves_guild,translate,both,25,0
traveler,traveler,keep,both,13,620
valerica,valerica,keep,chim,0,1
vampire,vampire,keep,chim,43,13
vittoria_vici,vittoria_vici,keep,chim,0,1
volkihar,volkihar,keep,chim,16,10
warrior,warrior,keep,both,224,31
werewolf,werewolf,keep,chim,8,5
whiterun,whiterun,keep,chim,145,308
winterhold,winterhold,keep,chim,53,136
witch,witch,keep,chim,10,9
woodelf,bosmer,translate,both,27,0
ysolda,ysolda,keep,chim,0,1
